bcr_sample_barcode	bcr_analyte_barcode	a260_a280_ratio	amount	analyte_type	concentration	gel_image_file	spectrophotometer_method	well_number
TCGA-A2-A0CU-10A	TCGA-A2-A0CU-10A-01D	1.78	30.96	DNA	0.14	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A2-A0CV-01A	TCGA-A2-A0CV-01A-31D	2.00	19.67	DNA	0.15	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A2-A0CV-01A	TCGA-A2-A0CV-01A-31R	1.82	13.54	RNA	0.15	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A2-A0CV-10A	TCGA-A2-A0CV-10A-01D	1.97	28.03	DNA	0.15	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A2-A0CW-01A	TCGA-A2-A0CW-01A-21D	1.90	59.43	DNA	0.15	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A2-A0CW-01A	TCGA-A2-A0CW-01A-21R	1.86	52.75	RNA	0.17	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A2-A0CW-10A	TCGA-A2-A0CW-10A-01D	1.88	23.32	DNA	0.16	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A2-A0CX-01A	TCGA-A2-A0CX-01A-21D	2.08	28.20	DNA	0.15	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A2-A0CX-01A	TCGA-A2-A0CX-01A-21R	1.79	40.37	RNA	0.15	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A2-A0CX-10A	TCGA-A2-A0CX-10A-01D	1.95	24.02	DNA	0.16	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A2-A0CY-01A	TCGA-A2-A0CY-01A-12D	1.90	26.19	DNA	0.16	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A2-A0CY-01A	TCGA-A2-A0CY-01A-12R	1.76	23.81	RNA	0.15	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A2-A0CY-10A	TCGA-A2-A0CY-10A-01D	1.87	23.65	DNA	0.15	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A2-A0CY-10A	TCGA-A2-A0CY-10A-01X	null	null	GenomePlex (Rubicon) Amplified DNA	null	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A2-A0CZ-01A	TCGA-A2-A0CZ-01A-11D	1.93	36.48	DNA	0.16	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A2-A0CZ-01A	TCGA-A2-A0CZ-01A-11R	1.75	27.44	RNA	0.16	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A2-A0CZ-10A	TCGA-A2-A0CZ-10A-01D	1.89	24.42	DNA	0.14	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A2-A0D0-01A	TCGA-A2-A0D0-01A-11D	1.91	66.88	DNA	0.16	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A2-A0D0-01A	TCGA-A2-A0D0-01A-11R	1.78	86.83	RNA	0.16	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A2-A0D0-10A	TCGA-A2-A0D0-10A-01D	1.95	24.18	DNA	0.15	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A2-A0D1-01A	TCGA-A2-A0D1-01A-11D	1.88	52.88	DNA	0.16	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A2-A0D1-01A	TCGA-A2-A0D1-01A-11R	1.80	45.32	RNA	0.14	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A2-A0D1-10A	TCGA-A2-A0D1-10A-01D	1.95	26.04	DNA	0.17	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A2-A0D2-01A	TCGA-A2-A0D2-01A-21D	1.89	61.59	DNA	0.17	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A2-A0D2-01A	TCGA-A2-A0D2-01A-21R	1.78	49.21	RNA	0.15	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A2-A0D2-10A	TCGA-A2-A0D2-10A-01D	1.80	24.52	DNA	0.14	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A2-A0D3-01A	TCGA-A2-A0D3-01A-11D	1.81	55.69	DNA	0.16	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A2-A0D3-01A	TCGA-A2-A0D3-01A-11R	1.87	40.08	RNA	0.16	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A2-A0D3-10A	TCGA-A2-A0D3-10A-01D	1.87	26.40	DNA	0.17	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A2-A0D4-01A	TCGA-A2-A0D4-01A-11D	2.00	58.16	DNA	0.15	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A2-A0D4-01A	TCGA-A2-A0D4-01A-11R	1.80	35.84	RNA	0.14	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A2-A0D4-10A	TCGA-A2-A0D4-10A-01D	1.97	22.35	DNA	0.15	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A2-A0EM-01A	TCGA-A2-A0EM-01A-11D	2.08	29.21	DNA	0.15	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A2-A0EM-01A	TCGA-A2-A0EM-01A-11R	1.83	15.32	RNA	0.13	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A2-A0EM-10A	TCGA-A2-A0EM-10A-01D	1.81	23.91	DNA	0.15	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A2-A0EN-01A	TCGA-A2-A0EN-01A-13D	2.00	27.41	DNA	0.16	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A2-A0EN-01A	TCGA-A2-A0EN-01A-13R	1.98	18.83	RNA	0.14	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A2-A0EN-10A	TCGA-A2-A0EN-10A-01D	1.92	22.21	DNA	0.14	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A2-A0EO-01A	TCGA-A2-A0EO-01A-11D	1.82	18.66	DNA	0.16	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A2-A0EO-01A	TCGA-A2-A0EO-01A-11R	1.71	12.86	RNA	0.13	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A2-A0EO-10A	TCGA-A2-A0EO-10A-01D	1.72	28.68	DNA	0.13	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A2-A0EQ-01A	TCGA-A2-A0EQ-01A-11D	1.94	73.50	DNA	0.21	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A2-A0EQ-01A	TCGA-A2-A0EQ-01A-11R	1.81	26.37	RNA	0.16	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A2-A0EQ-10A	TCGA-A2-A0EQ-10A-01D	1.88	25.58	DNA	0.16	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A2-A0ER-01A	TCGA-A2-A0ER-01A-21D	2.14	49.90	DNA	0.15	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A2-A0ER-01A	TCGA-A2-A0ER-01A-21R	2.00	30.99	RNA	0.13	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A2-A0ER-10A	TCGA-A2-A0ER-10A-01D	1.83	17.96	DNA	0.15	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A2-A0ES-01A	TCGA-A2-A0ES-01A-11D	1.91	18.07	DNA	0.13	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A2-A0ES-01A	TCGA-A2-A0ES-01A-11R	1.82	11.81	RNA	0.13	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A2-A0ES-10A	TCGA-A2-A0ES-10A-01D	1.94	22.71	DNA	0.14	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A2-A0ET-01A	TCGA-A2-A0ET-01A-31D	2.08	101.38	DNA	0.16	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A2-A0ET-01A	TCGA-A2-A0ET-01A-31R	1.80	56.24	RNA	0.13	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A2-A0ET-10A	TCGA-A2-A0ET-10A-01D	1.83	22.61	DNA	0.17	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A2-A0EU-01A	TCGA-A2-A0EU-01A-22D	1.80	40.68	DNA	0.14	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A2-A0EU-01A	TCGA-A2-A0EU-01A-22R	1.71	38.85	RNA	0.15	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A2-A0EU-10A	TCGA-A2-A0EU-10A-01D	1.91	21.31	DNA	0.13	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A2-A0EV-01A	TCGA-A2-A0EV-01A-11D	2.03	41.23	DNA	0.16	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A2-A0EV-01A	TCGA-A2-A0EV-01A-11R	1.82	23.55	RNA	0.16	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A2-A0EV-10A	TCGA-A2-A0EV-10A-01D	1.86	24.27	DNA	0.16	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A2-A0EW-01A	TCGA-A2-A0EW-01A-21D	2.00	15.84	DNA	0.13	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A2-A0EW-01A	TCGA-A2-A0EW-01A-21R	1.87	9.68	RNA	0.13	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A2-A0EW-10A	TCGA-A2-A0EW-10A-01D	1.79	22.71	DNA	0.14	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A2-A0EX-01A	TCGA-A2-A0EX-01A-21D	2.08	28.97	DNA	0.15	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A2-A0EX-01A	TCGA-A2-A0EX-01A-21R	1.77	18.88	RNA	0.15	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A2-A0EX-10A	TCGA-A2-A0EX-10A-01D	1.98	29.16	DNA	0.16	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A2-A0EY-01A	TCGA-A2-A0EY-01A-11D	1.97	17.40	DNA	0.15	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A2-A0EY-01A	TCGA-A2-A0EY-01A-11R	1.76	14.90	RNA	0.15	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A2-A0EY-10A	TCGA-A2-A0EY-10A-01D	1.98	29.16	DNA	0.16	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A2-A0ST-01A	TCGA-A2-A0ST-01A-12D	2.03	32.42	DNA	0.15	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A2-A0ST-01A	TCGA-A2-A0ST-01A-12R	1.87	17.86	RNA	0.16	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A2-A0ST-10A	TCGA-A2-A0ST-10A-01D	1.82	26.36	DNA	0.14	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A2-A0SU-01A	TCGA-A2-A0SU-01A-11D	1.95	20.78	DNA	0.15	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A2-A0SU-01A	TCGA-A2-A0SU-01A-11R	1.89	16.49	RNA	0.14	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A2-A0SU-10A	TCGA-A2-A0SU-10A-01D	1.97	23.16	DNA	0.15	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A2-A0SV-01A	TCGA-A2-A0SV-01A-11D	2.06	57.43	DNA	0.14	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A2-A0SV-01A	TCGA-A2-A0SV-01A-11R	1.81	54.08	RNA	0.15	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A2-A0SV-10A	TCGA-A2-A0SV-10A-01D	1.92	21.53	DNA	0.15	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A2-A0SW-01A	TCGA-A2-A0SW-01A-11D	1.90	65.64	DNA	0.14	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A2-A0SW-01A	TCGA-A2-A0SW-01A-11R	1.94	48.87	RNA	0.15	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A2-A0SW-10A	TCGA-A2-A0SW-10A-01D	1.94	23.36	DNA	0.14	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A2-A0SX-01A	TCGA-A2-A0SX-01A-12D	1.87	70.86	DNA	0.14	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A2-A0SX-01A	TCGA-A2-A0SX-01A-12R	1.76	40.41	RNA	0.15	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A2-A0SX-10A	TCGA-A2-A0SX-10A-01D	1.94	23.81	DNA	0.14	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A2-A0SY-01A	TCGA-A2-A0SY-01A-31D	2.00	24.79	DNA	0.15	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A2-A0SY-01A	TCGA-A2-A0SY-01A-31R	1.89	11.95	RNA	0.13	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A2-A0SY-10A	TCGA-A2-A0SY-10A-01D	2.00	17.14	DNA	0.17	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A2-A0T0-01A	TCGA-A2-A0T0-01A-22D	2.00	34.14	DNA	0.15	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A2-A0T0-01A	TCGA-A2-A0T0-01A-22R	1.78	28.54	RNA	0.14	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A2-A0T0-10A	TCGA-A2-A0T0-10A-01D	1.91	25.09	DNA	0.16	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A2-A0T1-01A	TCGA-A2-A0T1-01A-21D	1.90	36.73	DNA	0.15	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A2-A0T1-01A	TCGA-A2-A0T1-01A-21R	1.84	24.20	RNA	0.15	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A2-A0T1-10A	TCGA-A2-A0T1-10A-01D	1.78	23.04	DNA	0.16	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
TCGA-A2-A0T2-01A	TCGA-A2-A0T2-01A-11D	1.92	27.42	DNA	0.14	https://sharedoc.nchri.org/tcga-bcr/default.aspx	null	null
